,513FC31103.pv,513HC31114-5.mv,513PC31201.pv,513LC31202.pv,513FC31409.pv,513FC31114-5.pv,513TC31220.pv,MFR
4/22/2018 23:45,25298.313,0.133,30.417282,78.681084,33411.902,0.11724823,80.093643,3.9
4/23/2018 1:45,25362.973,0.133,30.496534,79.705276,43528.281,0.10566517,80.262138,3.9
4/23/2018 3:45,25378.775,0.13600001,30.336075,78.210709,31272.672,0.11974943,79.757637,3.9
4/23/2018 5:45,25313.924,0.13600001,30.454189,79.412369,37529.102,0.1230795,80.35743,3.9
4/23/2018 7:45,26326.904,0.13600001,30.247311,79.164841,32248.029,0.12931608,80.009644,3.7
4/23/2018 9:45,26336.627,0.13600001,30.289778,78.267456,35761.191,0.11871364,79.924225,4.2
4/23/2018 11:45,26164.959,0.138,30.724699,80.450356,43168.891,0.10793501,80.090332,4.2
4/23/2018 13:45,25529.646,0.138,30.467175,78.150848,30879.26,0.11578568,79.663071,4.2
4/23/2018 15:45,25311.896,0.138,30.642017,79.445305,33835.301,0.10511816,79.957451,4.1
4/23/2018 17:45,25477.096,0.138,30.434952,78.591682,35599.273,0.097550593,80.097321,4.1
4/23/2018 19:45,25019.318,0.138,30.586857,78.541077,40744.727,0.10488418,80.037308,4.3
4/23/2018 21:45,25730.143,0.14,30.438358,79.065575,37663.102,0.118640228,80.044876,4.5
4/23/2018 23:45,25573.59,0.15000001,30.622433,77.877556,33778.055,0.12493914,79.813339,4.3
4/24/2018 1:45,25757.166,0.14399999,30.524746,77.885162,31327.277,0.12074737,79.482811,4.4
4/24/2018 3:45,25188.07,0.142,30.384336,81.032265,38750.906,0.12157279,80.597076,3.9
4/24/2018 5:45,24963.447,0.14,30.253826,78.770752,33818.129,0.11376283,80.04258,4.1
4/24/2018 7:45,25372.467,0.14,30.493734,78.452965,32330.836,0.11392631,79.667023,3.8
4/24/2018 9:45,24803.373,0.138,30.908112,80.38855,51532.086,0.12210656,81.091011,3.9
4/24/2018 11:45,26274.326,0.138,30.628845,79.289108,47554.152,0.120913494,79.815887,4.1
4/24/2018 13:45,26826.844,0.16,30.481365,79.616341,45328.895,0.10807174,79.761429,4.2
4/24/2018 15:45,27251.467,0.16,30.318529,78.637619,42577.172,0.12360639,79.930046,4
4/24/2018 16:45,27256.775,0.16500001,30.518372,79.361343,49189.422,0.128760993,80.213905,4.1
4/24/2018 17:45,26916.742,0.16500001,30.508514,78.600166,38303.766,0.127992811,79.253922,4.1
4/24/2018 18:45,25779.404,0.16500001,30.63781,78.74472,39603.145,0.14095742,79.317886,4.1
4/24/2018 19:45,25647.771,0.16500001,30.437038,80.053757,45001.379,0.12848353,80.49604,4.3
4/24/2018 20:45,25597.805,0.16500001,30.348568,78.461365,29569.285,0.11796422,79.429207,4.2
4/24/2018 21:45,25499.025,0.167,30.459051,77.9711,34117.578,0.12197863,79.534866,4.4
4/24/2018 22:45,25355.01,0.17,30.595743,79.255188,35498.789,0.13992181,79.761375,4.1
4/24/2018 23:45,25198.555,0.17,30.576788,79.434494,46687.656,0.1412672,80.377869,4
4/25/2018 1:45,26232.023,0.176,30.502546,78.88414,52304.273,0.155396082,80.664589,4.1
4/25/2018 3:45,26984.48,0.176,30.481653,78.767502,46930.418,0.14075493,80.185104,4.1
4/25/2018 7:45,26482.15,0.176,30.378378,78.414726,45844.465,0.13795235,80.15094,3.5
4/25/2018 9:45,26552.904,0.176,30.066029,78.835602,43484.207,0.15414087,80.194946,3.8
4/25/2018 11:45,28015.672,0.178,30.477837,78.995918,55599.047,0.174963614,80.091537,3.8
4/25/2018 13:45,27892.604,0.178,30.428371,79.348541,55252.273,0.17725198,79.874855,4
4/25/2018 15:45,28039.762,0.175,30.507874,78.89357,57428.641,0.15437244,79.910233,4.3
4/25/2018 17:45,27796.49,0.175,30.451675,78.904762,52959.918,0.15541428,79.934326,4
4/25/2018 19:45,27059.932,0.17200001,30.483206,78.667358,44914.617,0.154502834,79.78067,4.1
4/25/2018 21:45,27070.309,0.17200001,30.40494,78.50882,47645.434,0.1582288,79.585724,4.1
4/25/2018 23:45,26862.584,0.17200001,30.452471,79.182602,51952.051,0.14129998,80.402878,3.9
4/26/2018 1:45,27533.668,0.17200001,29.777952,79.237808,47913.426,0.12375823,79.731682,3.9
4/26/2018 3:45,27513.691,0.17200001,30.514906,79.034874,43518.195,0.12289775,79.70446,4
4/28/2018 15:45,27161.832,0.184,30.449919,78.235527,40519.172,0.161055713,78.977165,3.7
4/28/2018 17:45,26693.811,0.184,30.591358,78.590805,51057.828,0.15214492,79.43557,3.7
4/28/2018 19:45,26708.309,0.184,30.434175,77.709274,37151.445,0.16812812,78.769257,3.9
4/28/2018 21:45,26480.148,0.184,30.301022,77.54937,37254.383,0.167970584,78.935379,3.8
4/28/2018 23:45,25611.348,0.186,30.715672,78.910149,34967.313,0.15699326,79.09314,3.8
4/29/2018 1:45,25342.074,0.18799999,30.369471,78.268845,43691.012,0.15754551,80.193787,3.8
4/29/2018 3:45,26397.199,0.18799999,30.417101,77.055763,43316.344,0.160638946,79.087059,3.5
4/29/2018 5:45,26222.656,0.189,30.79339,78.091454,38370.242,0.14671192,79.079224,3.5
4/29/2018 7:45,27245.043,0.19400001,30.322247,78.037544,56289.949,0.16717003,80.347855,3.5
4/29/2018 9:45,27550.422,0.19400001,30.281935,78.138702,50191,0.17724836,79.911964,3.6
4/29/2018 11:45,28499.813,0.19400001,30.357136,78.422592,58285.789,0.1813249,79.783859,3.7
